date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
9/1/2013,city of london,529619,E09000001,104,,1
10/1/2013,city of london,527374,E09000001,54,,1
11/1/2013,city of london,546793,E09000001,22,,1
12/1/2013,city of london,615401,E09000001,21,,1
1/1/2014,city of london,625001,E09000001,26,,1
2/1/2014,city of london,648359,E09000001,17,,1
3/1/2014,city of london,654629,E09000001,36,,1
4/1/2014,city of london,665262,E09000001,19,,1
5/1/2014,city of london,682663,E09000001,22,,1
6/1/2014,city of london,697309,E09000001,21,,1
7/1/2014,city of london,724282,E09000001,15,,1
8/1/2014,city of london,761544,E09000001,27,,1
9/1/2014,city of london,753704,E09000001,18,,1
10/1/2014,city of london,763369,E09000001,12,,1
11/1/2014,city of london,762735,E09000001,39,,1
12/1/2014,city of london,773768,E09000001,71,,1
1/1/2015,city of london,783667,E09000001,37,,1
2/1/2015,city of london,760550,E09000001,39,,1
3/1/2015,city of london,767207,E09000001,35,,1
4/1/2015,city of london,729148,E09000001,21,,1
5/1/2015,city of london,762815,E09000001,24,,1
6/1/2015,city of london,776509,E09000001,19,,1
7/1/2015,city of london,779097,E09000001,17,,1
8/1/2015,city of london,760243,E09000001,18,,1
9/1/2015,city of london,767464,E09000001,35,,1
10/1/2015,city of london,781358,E09000001,21,,1
11/1/2015,city of london,741727,E09000001,11,,1
12/1/2015,city of london,713253,E09000001,31,,1
1/1/2016,city of london,736788,E09000001,15,,1
2/1/2016,city of london,765644,E09000001,36,,1
3/1/2016,city of london,794754,E09000001,35,,1
4/1/2016,city of london,805320,E09000001,7,,1
5/1/2016,city of london,845579,E09000001,9,,1
6/1/2016,city of london,907965,E09000001,7,,1
7/1/2016,city of london,911827,E09000001,7,,1
8/1/2016,city of london,848269,E09000001,8,,1
9/1/2016,city of london,780527,E09000001,8,,1
10/1/2016,city of london,792664,E09000001,11,,1
11/1/2016,city of london,818663,E09000001,16,,1
12/1/2016,city of london,811786,E09000001,13,,1
1/1/2017,city of london,820305,E09000001,11,,1
2/1/2017,city of london,820665,E09000001,9,,1
3/1/2017,city of london,853943,E09000001,18,,1
4/1/2017,city of london,906146,E09000001,20,,1
5/1/2017,city of london,939912,E09000001,21,,1
6/1/2017,city of london,930979,E09000001,19,,1
7/1/2017,city of london,854798,E09000001,20,,1
8/1/2017,city of london,847422,E09000001,21,,1
9/1/2017,city of london,836674,E09000001,29,,1
10/1/2017,city of london,818477,E09000001,17,,1
11/1/2017,city of london,790159,E09000001,14,,1
12/1/2017,city of london,778002,E09000001,20,,1
1/1/2018,city of london,802129,E09000001,34,,1
2/1/2018,city of london,783266,E09000001,27,,1
3/1/2018,city of london,740799,E09000001,19,,1
4/1/2018,city of london,732351,E09000001,14,,1
5/1/2018,city of london,796399,E09000001,19,,1
6/1/2018,city of london,789278,E09000001,87,,1
7/1/2018,city of london,809697,E09000001,32,,1
8/1/2018,city of london,784144,E09000001,22,,1
9/1/2018,city of london,800875,E09000001,40,,1
10/1/2018,city of london,802869,E09000001,30,,1
11/1/2018,city of london,764207,E09000001,31,,1
12/1/2018,city of london,811694,E09000001,37,,1
1/1/2019,city of london,865636,E09000001,10,,1
2/1/2019,city of london,894680,E09000001,10,,1
3/1/2019,city of london,853616,E09000001,14,,1
4/1/2019,city of london,738842,E09000001,20,,1
5/1/2019,city of london,718773,E09000001,7,,1
6/1/2019,city of london,743157,E09000001,16,,1
7/1/2019,city of london,719871,E09000001,13,,1
8/1/2019,city of london,777613,E09000001,17,,1
9/1/2019,city of london,792034,E09000001,11,,1
10/1/2019,city of london,827093,E09000001,4,,1
11/1/2019,city of london,777610,E09000001,5,,1
12/1/2019,city of london,734872,E09000001,,,1
1/1/2020,city of london,775309,E09000001,,,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
